"score_data";"price_data";"distance_to_center";"Estrelas";"breakfast";"Reviews_qty";"Free_Cancel";"only_x_left"
8,9;20;3;1;0;524;1;1
8,2;20;6;2;0;109;1;0
8,5;32;2,6;3;0;295;1;0
7,5;14;11;3;0;101;1;0
7,9;18;5;3;0;178;1;0
8,8;22;1,8;3;0;1880;1;1
8,2;16;9;3;0;385;1;0
8,5;42;8;4;0;398;0;0
8,5;23;4,3;3;0;130;1;1
7,9;34;4,5;4;0;623;1;1
8,4;19;10;2;0;356;1;1
7,9;17;5;2;0;16;1;0
8,5;25;5;3;0;1015;1;0
8,7;13;1,1;4;0;157;1;0
7,4;18;5;3;0;465;1;0
8;22;11;3;0;673;1;0
7,1;17;13;3;0;189;1;1
8;15;14;4;0;367;0;0
7,2;18;4;3;0;288;1;0
7,5;43;6;5;0;142;1;1
7,8;21;3,5;3;0;247;1;0
6,7;16;6;2;0;301;1;0
9;22;3,8;3;0;829;1;0
9,1;87;6;5;0;623;1;0
8,8;39;1,1;3;0;1311;1;1
8,2;29;8;3;0;186;1;0
8,7;36;11;5;0;196;0;0
6,7;15;3,7;4;0;159;1;0
8,3;22;12;3;1;82;1;1
8,3;32;11;3;0;184;1;0
8,6;34;2,8;3;0;588;1;0
7,2;9;3,4;3;0;416;1;0
7,1;19;6;3;0;58;1;0
7,9;24;5;3;0;680;1;1
8,7;108;2,9;4;0;472;1;0
8,6;19;2;2;0;439;1;1
8,2;23;7;3;0;422;1;1
8,8;16;9;2;0;70;1;0
7,3;17;2,4;3;1;311;1;1
7,2;14;5;3;0;412;1;1
8,2;60;8;4;1;475;1;0
6,8;20;3,9;3;0;147;1;0
7,9;25;9;3;0;273;1;0
8,7;47;8;5;0;123;1;0
7,1;18;3,7;3;0;238;1;0
8;36;1,9;4;0;622;1;0
8,5;24;4,7;3;0;348;1;1
8,8;16;12;2;0;112;1;1
8,6;25;8;3;0;326;1;1
7;21;5;2;0;105;1;1
8,1;25;5;4;0;284;1;0
7,2;17;2,8;2;0;394;1;0
7,7;12;1,7;1;0;611;1;1
7,4;22;4;3;0;84;1;1
9,3;56;0,15;3;1;380;1;1
7,6;27;5;4;1;392;1;0
7,7;20;7;2;0;307;1;0
8,4;32;5;3;0;951;1;0
7,6;19;8;3;0;226;1;0
8;22;11;3;0;263;1;0
8,4;36;4,1;4;0;213;1;1
7,2;27;1,8;2;1;445;1;0
8,5;17;7;3;0;6;1;0
7,7;14;4,1;2;0;464;1;1
6,8;13;4,2;2;0;482;1;1
8,9;28;1,1;3;0;1830;1;0
8,3;12;7;3;0;50;1;0
8,3;28;5;3;0;136;1;1
7,8;15;12;3;0;231;1;0
8,9;21;3,1;3;0;456;1;1
8,9;32;8;4;0;76;1;0
8,4;66;4,6;4;0;271;1;0
7,7;19;8;3;0;232;1;0
8,8;29;0,95;4;0;1760;1;0
8,6;9;10;1;0;149;1;1
7,8;18;3,9;3;0;923;1;0
8,2;22;9;3;0;206;1;1
7,2;17;8;3;0;115;1;0
8,7;39;10;5;0;333;1;0
7,9;34;5;3;0;104;1;0
7,9;34;7;4;0;80;1;0
6,9;16;4,5;3;0;286;1;0
8,2;36;12;3;1;2412;1;0
