"Hotel_Name";"score_data";"price_data";"distance_to_center";"Estrelas";"breakfast";"Reviews_qty";"Free_Cancel";"only_x_left"
"
Chatrium Residence Sathon Bangkok
";8,6;47;6;4;0;1305;1;0
"
Ibis Bangkok Sukhumvit 4
";7,6;21;5;3;0;1921;1;0
"
Red Planet Bangkok Surawong
";8,2;20;3,9;3;0;404;1;0
"
Siam@Siam, Design Hotel Bangkok
";8,8;35;2,5;5;0;1666;1;1
"
Baan Wanglang Riverside, Bangkok
";8,6;37;2,1;3;0;854;1;0
"
The Iconic Don Mueang by Andacura
";8;23;19;4;0;104;1;0
"
Pantip Suites
";8,1;43;5;4;0;2665;1;0
"
Amari Watergate Bangkok - SHA Certified
";8,5;59;3,8;5;0;2841;1;0
"
Asia Hotel Bangkok
";7,6;34;2,8;4;0;2823;1;0
"
Ramada Plaza by Wyndham Bangkok Menam Riverside
";8,4;94;5;5;0;1847;1;0
"
Siam Champs Elyseesi Unique Hotel
";8,6;38;0,3;3;1;1049;1;0
"
Miramar Hotel
";7,8;22;1,1;4;0;1580;1;0
"
Livotel Hotel Kaset Nawamin Bangkok
";7,9;20;12;4;0;553;1;0
"
The Siam Heritage Hotel
";8,4;71;4;4;0;831;1;0
"
Bed By City Surawong-Patpong Hotel
";8,6;15;3,7;3;0;1140;1;0
"
Hotel Tranz
";8,8;42;3,1;4;0;942;1;0
"
THA City Loft Hotel by TH District
";8,4;17;9;3;0;955;1;0
"
New Siam Palace Ville Near Siriraj Hospital
";7,9;25;1,4;3;0;4794;1;0
"
Grand Tower Inn Sathorn Hotel
";8,2;19;3,9;4;0;674;1;0
"
I Residence Hotel Silom
";7,8;32;4,5;4;1;1620;1;1
"
Park Hyatt Bangkok
";9,4;221;4,8;5;0;271;1;0
"
Le Grande City Pratunam
";6;14;3,5;3;0;28;1;0
"
D Varee Xpress Pula Silom, Bangkok
";8,2;24;4,3;3;0;1272;1;0
"
ASAI Bangkok Chinatown
";9,4;27;1,8;3;0;9;1;0
"
Hotel Royal Bangkok@Chinatown
";8,4;37;1,8;4;0;3945;1;0
"
Hotel Ordinary Bangkok
";8,9;18;4;4;0;152;1;0
"
The St. Regis Bangkok
";9,1;200;4,2;5;0;207;1;1
"
Solo Express Sukhumvit 81
";7,9;18;12;3;0;1048;1;0
"
Banyan Tree Bangkok
";8,9;99;5;5;0;1800;1;0
"
Zensation The Residence
";8,5;29;5;4;0;306;1;1
"
Hotel Once Bangkok
";8,4;47;5;4;0;286;1;1
"
Citichic Sukhumvit 13 by Compass Hospitality
";7,8;18;5;3;0;452;1;1
"
Rezt Bangkok
";8,8;13;7;3;0;1025;1;0
"
VIE Hotel Bangkok, MGallery
";9,1;63;2,9;5;0;594;1;0
"
Marsi Hotel Bangkok
";8;18;14;4;0;140;1;0
"
Happy 3
";8,7;24;2,5;3;0;1611;1;0
"
Livotel Hotel Lat Phrao Bangkok
";7,9;13;13;4;0;574;1;0
"
Benviar Tonson Residence
";8,5;53;4,7;4;0;458;1;1
"
Picnic Hotel Bangkok - Rang Nam
";8,1;22;3,8;4;0;484;1;0
"
Siam Nitra Boutique Hotel
";8,5;31;2,9;3;0;373;1;1
"
Citrus Sukhumvit 13 Nana Bangkok by Compass Hospitality
";7,8;18;5;4;0;1249;1;0
"
Grand Mercure Bangkok Asoke Residence
";8,4;60;6;5;0;352;1;0
"
Q-Box Hotel Bangkok Blossom
";8,4;29;20;5;0;257;1;0
"
Charlie House Pin Klao
";8,5;21;3,7;3;0;1071;1;0
"
Kritthai Residence
";8,8;30;2,7;3;0;1504;1;0
"
The Key Premier Sukhumvit Bangkok by Compass Hospitality
";8,8;61;5;4;0;826;1;0
"
Spittze Hotel Pratunam
";7,8;17;3,3;3;0;145;1;0
"
St. James Hotel
";8;22;7;3;0;152;1;0
"
Column Bangkok Hotel
";8,4;55;6;4;0;255;1;0
"
Dusit Suites Hotel Ratchadamri, Bangkok
";8,8;81;4,2;5;0;404;1;0
"
OYO 251 Matini Ratchada 32
";8,5;15;10;3;0;322;1;0
"
Siam Swana
";7,9;25;2,7;3;0;487;1;0
"
Twin Peaks Sukhumvit Suites
";8,4;68;6;4;0;129;1;1
"
Anantara Siam Bangkok Hotel
";9;144;4,1;5;0;1201;1;0
"
MIDO Hotel
";8,1;25;5;4;1;151;1;0
"
OYO 564 Nature Boutique Hotel
";8,1;16;10;2;0;396;1;0
"
Evergreen Laurel Hotel Sathorn Bangkok
";8,6;51;4,8;5;0;467;1;0
"
Villa De Khaosan by Chillax
";8,8;37;1,2;4;0;2863;1;0
"
Apartelle Jatujak Hotel
";9,1;24;9;3;0;465;1;0
"
Hyatt Regency Bangkok Sukhumvit
";9,1;133;5;5;0;416;1;0
"
The Journey Hotel Laksi
";8,6;21;14;3;0;587;1;0
"
D Varee Xpress Makkasan Hotel
";7,2;25;6;3;0;906;1;0
"
Tèja Hotel Bangkok at Nana
";7,5;17;5;3;0;228;1;1
"
Sakura Sky Residence
";7,5;14;7;3;0;1394;1;0
"
New Siam Riverside Near Siriraj Hospital
";7,9;28;1,6;3;0;3369;1;0
"
Regent Ramkhamhaeng 22
";8,1;22;11;3;0;333;1;1
"
The Emerald Hotel
";7,9;43;7;4;0;426;1;0
"
Grand China Hotel
";7,9;29;1,5;4;0;1140;1;0
"
The Victory Executive Residences Bangkok
";7,7;24;3,5;4;0;2888;1;1
"
Hotel PAPA Bangkok Siriraj - SHA Certified
";8,8;21;2,6;3;0;74;1;1
"
Resort M Bangkok - BTS Onnut
";7,7;20;12;3;0;990;1;0
"
Riva Arun Bangkok
";9,1;116;2;4;0;622;1;1
"
Amanta Hotel & Residence Ratchada
";8,5;53;6;4;0;155;1;0
"
The Xtreme Suites
";7,4;15;13;4;0;291;1;0
"
Hansar Bangkok
";8,6;66;4,2;5;0;249;1;1
"
Viva Garden Serviced Residence
";8,9;51;12;4;0;665;1;0
"
Samran Place Hotel
";7,9;37;2,5;3;1;625;1;0
"
Salin Home Hotel Ramkhamhaeng
";8,6;12;14;2;0;154;1;1
"
YELLO ROOMS Victory Monument
";9;29;3,7;3;0;489;1;0
"
SCENE BANGKOKNOI HOTEL
";8,7;48;2,7;4;0;111;1;0
"
Citadines Sukhumvit 16 Bangkok
";8,9;44;6;4;0;683;1;0
"
Kokotel Bangkok Dheva Thonglor
";9,3;42;8;4;0;23;1;0
"
Hotel Solo, Sukhumvit 2, Bangkok
";8;41;5;4;0;1054;1;0
"
The Tawana Bangkok
";8;22;4;4;0;646;1;1
"
Kokotel Bangkok Sukhumvit 50
";9;31;11;3;0;624;1;0
"
Bangkok Tree House
";7,7;97;12;4;1;176;1;1
"
Narai Hotel
";8;28;4;4;0;1600;1;0
"
Staybridge Suites Bangkok Thonglor
";9,2;68;8;4;1;41;1;0
"
B Stay Hotel
";8,3;26;11;4;1;217;1;1
"
Cape House Langsuan Hotel
";8,8;80;4,5;5;1;407;1;0
"
True Siam Rangnam Hotel
";8,4;17;3,7;3;0;712;1;0
"
Somerset Park Suanplu
";8,6;65;5;5;0;563;1;0
"
S31 Sukhumvit Hotel
";8,3;130;7;5;1;546;1;0
"
The Tarntawan Hotel Surawong Bangkok
";7,9;25;4;4;0;365;1;0
"
B-yourhome
";7,9;19;21;4;0;1076;1;0
"
Riverview Residence Managed by GN
";7,7;16;2,5;2;0;635;1;1
"
Arcadia Suites Ploenchit Sukhumvit by Compass Hospitality
";8,2;64;4,9;4;0;496;1;0
"
KOS Hotel Suvarnabhumi Airport
";9;41;26;3;0;24;1;0
"
The Raweekanlaya Bangkok
";8,5;51;1,4;5;0;1167;1;0
"
Zen Hotel
";8,5;14;6;3;0;25;1;1
"
Amara Bangkok Hotel
";9;37;3,9;4;0;2076;1;0
"
Centre Point Sukhumvit Thong-Lo
";8,6;60;8;4;0;356;1;0
"
The Narathiwas Hotel & Residence Sathorn Bangkok
";7,9;27;7;4;0;582;1;0
"
Nimit Boutique Hotel
";8,4;42;7;3;0;129;1;1
"
UMA Residence
";8,1;28;3,3;3;0;367;1;1
"
Alt Hotel Nana by UHG
";7,8;30;5;4;0;1325;1;1
"
Maverick Ratchada Hotel
";8,2;21;7;3;0;759;1;0
"
Villa Phra Sumen Bangkok
";8,9;23;0,5;3;0;1317;1;0
"
Le Siam Hotel
";8,6;28;4,5;4;0;524;1;1
"
Khaosan Art Hotel
";8;13;1,5;2;0;4929;1;0
"
39 Boulevard Executive Residence
";8,3;45;7;4;0;177;1;1
"
NAP Hotel Bangkok
";8,3;18;3,4;3;0;236;1;0
"
LUXX Langsuan Hotel
";7,7;30;4,5;4;0;336;1;0
"
Park Village Rama II
";8,4;38;13;4;1;199;1;1
"
The Home Hotel
";8,2;14;14;4;0;647;1;0
"
S30
";6,6;14;7;3;0;783;1;1
"
Adelphi Grande Sukhumvit
";8,2;28;7;4;0;317;1;1
"
Tints of Blue Hotel
";8,8;24;6;3;1;880;1;1
"
Golden Pearl Hotel
";8,3;35;14;3;0;87;1;1
"
Top High Airport Link Hotel, Bangkok
";8;32;3,4;3;0;1854;1;0
